unit_family,source_unit,target_unit,conversion_factor,offset
temperature,F,C,0.555555556,-32
weight,ounces,kg,0.0283495,0
weight,lb,kg,0.453592,0
height,cm,m,0.01,0
height,feet,m,0.3048,0
height,inches,m,0.0254,0
blood_count,10^9/L,10^3/uL,1,0
phosphate,mmol/L,mg/dL,3.1,0
hgb,g/L,g/dL,0.1,0
magnesium,mmol/L,mg/dL,2.43,0
calcium,mmol/L,mg/dL,4.008,0
albumin,g/L,g/dL,0.1,0
bilirubin,umol/L,mg/dL,0.0585,0
monovalent_ion,mmol/L,mEq/L,1,0
urea,mg/dL,mmol/L,2.8,0
creatinine,umol/L,mg/dL,0.0113,0
lactate,mmol/L,mg/dL,9.01,0
volume,mL,L,0.001,0
