column_name,category,value_fill
AdmissionSourceInsideHospital_Emergency,categorical_static,zero
AnticoagulationMetrics_ACT,categorical_dynamic,zero
DialysateFluidRate_adj_mean,numerical_dynamic,zero
AnyTumour,categorical_static,zero
ChronicPulmonaryDisease,categorical_static,zero
BicarbonateUs_mean,numerical_dynamic,fill
CreatinineUs_mean,numerical_dynamic,fill
INRUs_mean,numerical_dynamic,fill
FiO2Us_mean,numerical_dynamic,fill
PaCO2Us_mean,numerical_dynamic,fill
pHUs_mean,numerical_dynamic,fill
PTTUs_mean,numerical_dynamic,fill
IcuAdmitCreatinineUs_mg_dL,numerical_static,
MeanArterialPressure_mean,numerical_dynamic,fill
NeuroGcs_mean,numerical_dynamic,fill
RespiratoryRate_mean,numerical_dynamic,fill
SOFA_Total_complete,numerical_dynamic,fill
ECMO,categorical_dynamic,zero
MechanicalVentilation,categorical_dynamic,zero
EmergencySurgeryReason_Other,categorical_static,zero
EmergencySurgeryReason_Urologic,categorical_static,zero
GastroEmer,categorical_static,zero
Transplant,categorical_static,zero
Received_Norepinephrine,categorical_dynamic,zero
Received_Vasopressin,categorical_dynamic,zero
Received_Vasopressor,categorical_dynamic,zero
VasopressinDripRate_adj_mean,numerical_dynamic,zero
NorepinephrineDripRate_adj_mean,numerical_dynamic,zero
Vasopressor_TotalDose_mean,numerical_dynamic,zero
OtherFluids_Calculated,numerical_dynamic,zero
UrineOutput,numerical_dynamic,zero
FluidBalance_Calculated,numerical_dynamic,zero
FluidOverload_Calculated,numerical_dynamic,zero
TotalFluidsInFromIcuToCrrtStart_liters_adj,numerical_static,
