Label,ICD_TYPE,ICD_TYPE_CLEAN,Mapping_Conversion,ICD_CODE,CODE_Reference,ICD Definition,Group,CCSR Category,Exclude
GastroEmerg,ICD-10-CM,ICD10CM,537.2; 537.3 ,K31.5,K315,Obstruction of duodenum,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,550.12,K40.00,K4000,Bilateral inguinal hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,550.13,K40.01,K4001,Bilateral inguinal hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,550.1,K40.30,K4030,Unilateral inguinal hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,550.11,K40.31,K4031,Unilateral inguinal hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.02,K41.00,K4100,Bilateral femoral hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.03,K41.01,K4101,Bilateral femoral hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552,K41.30,K4130,Unilateral femoral hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.01,K41.31,K4131,Unilateral femoral hernia,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.1,K42.0,K420,Umbilical hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.21,K43.0,K430,Incisional hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.29,K43.3,K433,Parastomal hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.2,K43.6,K436,Other and unspecified ventral hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.3,K44.0,K440,Diaphragmatic hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.8,K45.0,K450,Other specified abdominal hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,552.9,K46.0,K460,Unspecified abdominal hernia with obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,555.0 + 560.9,K50.012,K50012,Crohns disease of small intestine with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,555.1 + 560.9,K50.112,K50112,Crohns disease of large intestine with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,555.2 + 560.9,K50.812,K50812,Crohns disease of both small and large intestine with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,555.9 + 560.9,K50.912,K50912,Crohns disease,,,
GastroEmerg,ICD-10-CM,ICD10CM,556.6 + 560.89,K51.012,K51012,Ulcerative (chronic) pancolitis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.2 + 560.89,K51.212,K51212,Ulcerative (chronic) proctitis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.3 + 560.89,K51.312,K51312,Ulcerative (chronic) rectosigmoiditis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.4 + 560.89,K51.412,K51412,Inflammatory polyps of colon with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.5 + 560.89,K51.512,K51512,Left sided colitis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.8 + 560.89,K51.812,K51812,Other ulcerative colitis with intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,556.9 + 560.89,K51.912,K51912,Ulcerative colitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,560.1,K56.0,K560,Paralytic ileus,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560,K56.1,K561,Intussusception,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.2,K56.2,K562,Volvulus,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.31,K56.3,K563,Gallstone ileus,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.32,K56.41,K5641,Fecal impaction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.30; 560.39,K56.49,K5649,Other impaction of intestine,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.81,K56.5,K565,Intestinal adhesions [bands] with obstruction (postprocedural) (postinfection),Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.81,K56.50,K5650,Intestinal adhesions [bands],,,
GastroEmerg,ICD-10-CM,ICD10CM,560.81,K56.51,K5651,Intestinal adhesions [bands],,,
GastroEmerg,ICD-10-CM,ICD10CM,560.81,K56.52,K5652,Intestinal adhesions [bands] with complete obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.9,K56.60,K5660,Unspecified intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.91,K56.600,K56600,Partial intestinal obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,560.92,K56.601,K56601,Complete intestinal obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,560.93,K56.609,K56609,Unspecified intestinal obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,560.89,K56.69,K5669,Other intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.89,K56.690,K56690,Other partial intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.89,K56.691,K56691,Other complete intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.89,K56.699,K56699,Other intestinal obstruction unspecified as to partial versus complete obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,560.1,K56.7,K567,Ileus,,,
GastroEmerg,ICD-10-CM,ICD10CM,997.49,K91.3,K913,Postprocedural intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,997.49,K91.30,K9130,Postprocedural intestinal obstruction,,,
GastroEmerg,ICD-10-CM,ICD10CM,997.49,K91.31,K9131,Postprocedural partial intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,997.49,K91.32,K9132,Postprocedural complete intestinal obstruction,Intestinal obstruction and ileus,DIG012,
GastroEmerg,ICD-10-CM,ICD10CM,577.0 + 078.5,B25.2,B252,Cytomegaloviral pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,72.3,B26.3,B263,Mumps pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.0,K850,Idiopathic acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.00,K8500,Idiopathic acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.01,K8501,Idiopathic acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.02,K8502,Idiopathic acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.1,K851,Biliary acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.10,K8510,Biliary acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.11,K8511,Biliary acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.12,K8512,Biliary acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.2,K852,Alcohol induced acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.20,K8520,Alcohol induced acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.21,K8521,Alcohol induced acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.22,K8522,Alcohol induced acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.3,K853,Drug induced acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.30,K8530,Drug induced acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.31,K8531,Drug induced acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.32,K8532,Drug induced acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.8,K858,Other acute pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.80,K8580,Other acute pancreatitis without necrosis or infection,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.81,K8581,Other acute pancreatitis with uninfected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.82,K8582,Other acute pancreatitis with infected necrosis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.9,K859,Acute pancreatitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.90,K8590,Acute pancreatitis without necrosis or infection,,,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.91,K8591,Acute pancreatitis with uninfected necrosis,,,
GastroEmerg,ICD-10-CM,ICD10CM,577,K85.92,K8592,Acute pancreatitis with infected necrosis,,,
GastroEmerg,ICD-10-CM,ICD10CM,577.1,K86.0,K860,Alcohol-induced chronic pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,577.1; 577.8,K86.1,K861,Other chronic pancreatitis,Pancreatic disorders (excluding diabetes),DIG020,
GastroEmerg,ICD-10-CM,ICD10CM,456,I85.01,I8501,Esophageal varices with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,456.2,I85.11,I8511,Secondary esophageal varices with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,None,K20.81,K2081,Other esophagitis with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,None,K20.91,K2091,Esophagitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,None,K21.01,K2101,Gastro-esophageal reflux disease with esophagitis,,,
GastroEmerg,ICD-10-CM,ICD10CM,530.21,K22.11,K2211,Ulcer of esophagus with bleeding,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,530.7,K22.6,K226,Gastro-esophageal laceration-hemorrhage syndrome,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,531,K25.0,K250,Acute gastric ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,531.2,K25.2,K252,Acute gastric ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,531.4,K25.4,K254,Chronic or unspecified gastric ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,531.6,K25.6,K256,Chronic or unspecified gastric ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,532,K26.0,K260,Acute duodenal ulcer with hemorrhage,Gastrointestinal hemorrhage,DIG021,
GastroEmerg,ICD-10-CM,ICD10CM,532.2,K26.2,K262,Acute duodenal ulcer with both hemorrhage and perforation,Gastrointestinal hemorrhage,DIG021,
